
DESKTOP-HKV0F46

"Nombre del ordenador:","DESKTOP-HKV0F46"
"Tipo de conector externo:","Ninguna"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","J1102"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","DP"
"Tipo de conector externo:","Ninguna"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","J2100"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Front Audio"
"Tipo de conector externo:","Mini-jack (headphones)"

Audio Port

"Tipo de puerto:","Audio Port"
"Referencia interna:","J2101"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Audio Jack"
"Tipo de conector externo:","Mini-jack (headphones)"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","J1700"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","Sata Express"
"Tipo de conector externo:","Ninguna"

Ranuras del sistema


J10

"Designación de la ranura:","J10"
"Tipo de ranura:","PCI Express x16"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","8x / x8"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:-:-"

J3600 Pcie x8 slot

"Designación de la ranura:","J3600 Pcie x8 slot"
"Tipo de ranura:","PCI Express x8"
"Uso de la ranura:","Desconocido"
"Ancho del bus de datos de la ranura:","8x / x8"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:-:-"

J3707 Pcie x4 slot

"Designación de la ranura:","J3707 Pcie x4 slot"
"Tipo de ranura:","PCI Express x4"
"Uso de la ranura:","Desconocido"
"Ancho del bus de datos de la ranura:","4x / x4"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:-:-"

J3700 PCIE x4 slot from Promontory

"Designación de la ranura:","J3700 PCIE x4 slot from Promontory"
"Tipo de ranura:","PCI Express x4"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","4x / x4"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:-:-"

J3702 PCIE x1 slot from Promontory

"Designación de la ranura:","J3702 PCIE x1 slot from Promontory"
"Tipo de ranura:","PCI Express x1"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:-:-"

J3703 PCIE x1 slot from Promontory

"Designación de la ranura:","J3703 PCIE x1 slot from Promontory"
"Tipo de ranura:","PCI Express x1"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:-:-"

J3701 M.2 WLAN/BT slot

"Designación de la ranura:","J3701 M.2 WLAN/BT slot"
"Tipo de ranura:","PCI Express x1"
"Uso de la ranura:","Vacío"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:-:-"

U3700 M.2 Slot

"Designación de la ranura:","U3700 M.2 Slot"
"Tipo de ranura:","PCI Express x1"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:1:6"

Memoria

"Tamaño de memoria total:","12 GBytes"
"Total Memory Size [MB]:","12288"
"Frecuencia de memoria máxima admitida:","Ilimitado"
"Frecuencia de memoria actual:","1197.8 MHz"
"Sincronización actual (tCAS-tRCD-tRP-tRAS):","17-17-17-39"
"Canales de memoria compatibles:","2"
"Canales de memoria activos:","2"
"Tasa de comando (CR):","1T"
"Read to Read Delay (tRDRD_SC) Same Chipselect:","1T"
"Read to Read Delay (tRDRD_SG/TrdrdScL) Same Bank Group:","3T"
"Read to Read Delay (tRDRD_SD) Same DIMM:","3T"
"Read to Read Delay (tRDRD_DD) Different DIMM:","3T"
"Write to Write Delay (tWRWR_SC) Same Chipselect:","1T"
"Write to Write Delay (tWRWR_SG/TwrwrScL) Same Bank Group:","3T"
"Write to Write Delay (tWRWR_SD) Same DIMM:","5T"
"Write to Write Delay (tWRWR_DD) Different DIMM:","5T"
"Read to Write Delay (tRDWR):","11T"
"Read to Precharge Delay (tRTP):","9T"
"Write to Precharge Delay (tWTP):","29T"
"Write Recovery Time (tWR):","18T"
"Row Cycle Time (tRC):","56T"
"Refresh Cycle Time (tRFC):","421T"
"Four Activate Window (tFAW):","26T"

Row: 0 [P0 CHANNEL A/DIMM 0] - 8 GB PC4-19200 DDR4 SDRAM Micron 8ATF1G64HZ-2G3B1

"Número de módulo:","0"
"Tamaño del módulo:","8 GBytes"
"Tipo de memoria:","DDR4 SDRAM"
"Tipo de módulo:","SO-DIMM"
"Velocidad de memoria:","1200.0 MHz (DDR4-2400 / PC4-19200)"
"Fabricante del módulo:","Micron"
"Número de pieza del módulo:","8ATF1G64HZ-2G3B1"
"Revisión del módulo:","3.1"
"Número de serie del módulo:","2362183187 (130ECC8C)"
"Fecha de fabricación del módulo:","Año: 2016, Semana: 25"
"Ubicación de fabricación del módulo:","15"
"Fabricante de SDRAM:","Micron"
"DRAM Steppping:","4.2"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","16"
"Bits de dirección de columna:","10"
"Densidad del módulo:","8192 Mb"
"Número de rangos:","1"
"Número de grupos de bancos:","4"
"Ancho del dispositivo:","8 bits"
"Busbreite:","64 bits"
"Die Count:","1"
"Voltaje nominal del módulo (VDD):","1.2 V"
"Tiempo de ciclo mínimo de SDRAM (tCKAVGmin):","0.83300 ns (1200 MHz)"
"Tiempo máximo de ciclo de SDRAM (tCKAVGmax):","1.60000 ns"
"Latencias de CAS # admitidas:","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.750 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Temporización del módulo admitido a 1200.0 MHz:","17-17-17-39"
"Temporización del módulo admitido a 1066.7 MHz:","15-15-15-35"
"Temporización del módulo admitido a 933.3 MHz:","13-13-13-30"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-26"
"Temporización del módulo admitido a 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","21.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","3.300 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","4.900 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Sensor de temperatura del módulo (TSOD):","No soportado"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","1 - 2 mm"
"Address Mapping from Edge Connector to DRAM:","Standard"

Row: 1 [P0 CHANNEL B/DIMM 1] - 4 GB PC4-21300 DDR4 SDRAM Ramaxel Technology RMSA3270ME86H9F-2666

"Número de módulo:","1"
"Tamaño del módulo:","4 GBytes"
"Tipo de memoria:","DDR4 SDRAM"
"Tipo de módulo:","SO-DIMM"
"Velocidad de memoria:","1333.3 MHz (DDR4-2666 / PC4-21300)"
"Fabricante del módulo:","Ramaxel Technology"
"Número de pieza del módulo:","RMSA3270ME86H9F-2666"
"Revisión del módulo:","4.1"
"Número de serie del módulo:","3959678994 (12E803EC)"
"Fecha de fabricación del módulo:","Año: 2020, Semana: 34"
"Ubicación de fabricación del módulo:","1"
"Fabricante de SDRAM:","Micron"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","16"
"Bits de dirección de columna:","10"
"Densidad del módulo:","8192 Mb"
"Número de rangos:","1"
"Número de grupos de bancos:","2"
"Ancho del dispositivo:","16 bits"
"Busbreite:","64 bits"
"Die Count:","1"
"Voltaje nominal del módulo (VDD):","1.2 V"
"Tiempo de ciclo mínimo de SDRAM (tCKAVGmin):","0.75000 ns (1333 MHz)"
"Tiempo máximo de ciclo de SDRAM (tCKAVGmax):","1.60000 ns"
"Latencias de CAS # admitidas:","10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.750 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.750 ns"
"Minimum Row Precharge Time (tRPmin):","13.750 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Temporización del módulo admitido a 1333.3 MHz:","19-19-19-43"
"Temporización del módulo admitido a 1200.0 MHz:","17-17-17-39"
"Temporización del módulo admitido a 1066.7 MHz:","15-15-15-35"
"Temporización del módulo admitido a 933.3 MHz:","13-13-13-30"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-26"
"Temporización del módulo admitido a 666.7 MHz:","10-10-10-22"
"Minimum Active to Active/Refresh Time (tRCmin):","45.750 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","350.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","260.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC4min):","160.000 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","30.000 ns"
"Minimum Active to Active Delay Time - Different Bank Group (tRRD_Smin):","5.300 ns"
"Minimum Active to Active Delay Time - Same Bank Group (tRRD_Lmin):","6.400 ns"
"Minimum CAS to CAS Delay Time - Same Bank Group (tCCD_Lmin):","5.000 ns"
"Sensor de temperatura del módulo (TSOD):","No soportado"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","<= 1 mm"
"Address Mapping from Edge Connector to DRAM:","Standard"

Bus


PCI Bus #0


AMD Raven - Root Complex

"Nombre del dispositivo:","AMD Raven - Root Complex"
"Nombre del dispositivo original:","AMD Raven - Root Complex"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_15D0&SUBSYS_15D01022&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1202"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_15D0&SUBSYS_15D01022&REV_00\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

AMD Zen - PCIe Dummy Host Bridge

"Nombre del dispositivo:","AMD Zen - PCIe Dummy Host Bridge"
"Nombre del dispositivo original:","AMD Zen - PCIe Dummy Host Bridge"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:1:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_1452&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1202"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_1452&SUBSYS_00000000&REV_00\3&11583659&0&08"
"Location Paths","PCIROOT(0)#PCI(0100)"

AMD Raven - PCIe GPP Bridge [6:0]

"Nombre del dispositivo:","AMD Raven - PCIe GPP Bridge [6:0]"
"Nombre del dispositivo original:","AMD Raven - PCIe GPP Bridge [6:0]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:1:5"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_15D3&SUBSYS_00000000&REV_00"
"Versión:","3.0"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","1x"
"Velocidad máxima de enlace:","8.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","512 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puerto raíz PCI Express"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_15D3&SUBSYS_315117AA&REV_00\3&11583659&0&0D"
"Location Paths","PCIROOT(0)#PCI(0105)"

PCI Express x1 Bus #1


RealTek Semiconductor RTL8822CE Wireless LAN 802.11ac PCI-E NIC

"Nombre del dispositivo:","RealTek Semiconductor RTL8822CE Wireless LAN 802.11ac PCI-E NIC"
"Nombre del dispositivo original:","RealTek Semiconductor RTL8822CE Wireless LAN 802.11ac PCI-E NIC"
"Clase de dispositivo:","Other Network Adapter"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","1:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_C822&SUBSYS_C12317AA&REV_00"
"Versión:","1.1"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","1x"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","FF00"
"Dirección base de memoria 2","FCFF0000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek Semiconductor Corp."
"Descripción del controlador:","Adaptador de red PCI-E NIC de LAN inalámbrica Realtek 8822CE 802.11ac"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","2024.0.8.108"
"Fecha del controlador del dispositivo:","04-Jun-2019"
"DeviceInstanceId","PCI\VEN_10EC&DEV_C822&SUBSYS_C12317AA&REV_00\00E04CFFFEC8220100"
"Location Paths","PCIROOT(0)#PCI(0105)#PCI(0000)"

AMD Raven - PCIe GPP Bridge [6:0]

"Nombre del dispositivo:","AMD Raven - PCIe GPP Bridge [6:0]"
"Nombre del dispositivo original:","AMD Raven - PCIe GPP Bridge [6:0]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:1:6"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_15D3&SUBSYS_00000000&REV_00"
"Versión:","3.0"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","1x"
"Velocidad máxima de enlace:","8.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","512 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puerto raíz PCI Express"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_15D3&SUBSYS_315117AA&REV_00\3&11583659&0&0E"
"Location Paths","PCIROOT(0)#PCI(0106)"

PCI Express x1 Bus #2 [U3700 M.2 Slot]


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Nombre del dispositivo:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Nombre del dispositivo original:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Clase de dispositivo:","Ethernet Adapter"
"ID de revisión:","E"
"Número de dirección PCI (Bus: Dispositivo: Función):","2:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_315117AA&REV_0E"
"Versión:","1.1"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","1x"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","EC00"
"Dirección base de memoria 2","FCE18000"
"Dirección base de memoria 4","FCE10000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Controladora de la familia Realtek PCIe GbE"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","9.1.410.2015"
"Fecha del controlador del dispositivo:","09-Apr-2015"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_315117AA&REV_0E\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(0106)#PCI(0000)"

RealTek Semiconductor Virtual COM1

"Nombre del dispositivo:","RealTek Semiconductor Virtual COM1"
"Nombre del dispositivo original:","RealTek Semiconductor Virtual COM1"
"Clase de dispositivo:","RS-232 Serial Port"
"ID de revisión:","E"
"Número de dirección PCI (Bus: Dispositivo: Función):","2:0:1"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_816A&SUBSYS_315117AA&REV_0E"
"Versión:","1.1"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","1x"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTB#"
"Dirección base de E/S 0","E800"
"Dirección base de memoria 2","FCE17000"
"Dirección base de memoria 4","FCE0C000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek RealManage COM1"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","1.1.1108.2017"
"Fecha del controlador del dispositivo:","07-Nov-2017"
"DeviceInstanceId","PCI\VEN_10EC&DEV_816A&SUBSYS_315117AA&REV_0E\4&3D0C572&0&010E"
"Location Paths","PCIROOT(0)#PCI(0106)#PCI(0001)"

RealTek Semiconductor Virtual COM2

"Nombre del dispositivo:","RealTek Semiconductor Virtual COM2"
"Nombre del dispositivo original:","RealTek Semiconductor Virtual COM2"
"Clase de dispositivo:","RS-232 Serial Port"
"ID de revisión:","E"
"Número de dirección PCI (Bus: Dispositivo: Función):","2:0:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_816B&SUBSYS_315117AA&REV_0E"
"Versión:","1.1"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","1x"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTC#"
"Dirección base de E/S 0","E400"
"Dirección base de memoria 2","FCE16000"
"Dirección base de memoria 4","FCE08000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek RealManage COM2"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","1.1.1108.2017"
"Fecha del controlador del dispositivo:","07-Nov-2017"
"DeviceInstanceId","PCI\VEN_10EC&DEV_816B&SUBSYS_315117AA&REV_0E\4&3D0C572&0&020E"
"Location Paths","PCIROOT(0)#PCI(0106)#PCI(0002)"

RealTek Semiconductor Virtual IPMI

"Nombre del dispositivo:","RealTek Semiconductor Virtual IPMI"
"Nombre del dispositivo original:","RealTek Semiconductor Virtual IPMI"
"Clase de dispositivo:","IPMI"
"ID de revisión:","E"
"Número de dirección PCI (Bus: Dispositivo: Función):","2:0:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_816C&SUBSYS_315117AA&REV_0E"
"Versión:","1.1"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","1x"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTD#"
"Dirección base de E/S 0","E000"
"Dirección base de memoria 2","FCE15000"
"Dirección base de memoria 4","FCE04000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek RealManage IPMI"
"Proveedor de controladores:","Realtek"
"Versión del controlador:","1.1.1108.2017"
"Fecha del controlador del dispositivo:","07-Nov-2017"
"DeviceInstanceId","PCI\VEN_10EC&DEV_816C&SUBSYS_315117AA&REV_0E\4&3D0C572&0&030E"
"Location Paths","PCIROOT(0)#PCI(0106)#PCI(0003)"

RealTek Semiconductor USB 2.0 EHCI Controller

"Nombre del dispositivo:","RealTek Semiconductor USB 2.0 EHCI Controller"
"Nombre del dispositivo original:","RealTek Semiconductor USB 2.0 EHCI Controller"
"Clase de dispositivo:","USB EHCI Controller"
"ID de revisión:","E"
"Número de dirección PCI (Bus: Dispositivo: Función):","2:0:4"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_816D&SUBSYS_315117AA&REV_0E"
"Versión:","1.1"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","1x"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ47"
"Pin de interrupción:","INTD#"
"Dirección base de memoria 0","FCE14000"
"Dirección base de memoria 2","FCE00000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Controlador de host de PCI a USB mejorado"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_10EC&DEV_816D&SUBSYS_315117AA&REV_0E\4&3D0C572&0&040E"
"Location Paths","PCIROOT(0)#PCI(0106)#PCI(0004)"

USB Root Hub


[Port1] : No Device Connected


AMD Zen - PCIe Dummy Host Bridge

"Nombre del dispositivo:","AMD Zen - PCIe Dummy Host Bridge"
"Nombre del dispositivo original:","AMD Zen - PCIe Dummy Host Bridge"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:8:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1022&DEV_1452&SUBSYS_00000000&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Puente PCI de CPU host estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1202"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1022&DEV_1452&SUBSYS_00000000&REV_00\3&11583659&0&40"
"Location Paths","PCIROOT(0)#PCI(0800)"

AMD Raven - Internal PCIe GPP Bridge 0 to Bus A

"Nombre del dispositivo:","AMD Raven - Internal PCIe GPP Bridge 0 to Bus A"
"Nombre del dispositivo original:","AMD Raven - Internal PCIe GPP Bridge 0 to Bus A"
