
COMUNICACIONES2

"Nombre del ordenador:","COMUNICACIONES2"
"Intel ME Version:","8.1, Build 1318, Hot Fix 2"
"Intel ME Recovery Image Version:","8.1, Build 1318, Hot Fix 2"
"Intel ME FITC Version:","8.1, Build 1318, Hot Fix 2"
"Full Network Manageability:","No capaz"
"Standard Network Manageability:","No capaz"
"Manageability (AMT):","No capaz"
"Small Business Advantage:","No capaz"
"Manageability Upgrade:","No capaz"
"Intel Anti-Theft:","No capaz"
"Capability Licensing Service:","Capaz"
"Virtualization Engine:","No capaz"
"Power Sharing Technology (MPC):","Capaz"
"ICC Over Clocking:","Capaz"
"Protected Audio Video Path (PAVP):","Capaz"
"Identity Protection Technology (IPT):","No capaz"
"Remote PC Assist (RPAT):","No capaz"
"IPV6:","No capaz"
"KVM Remote Control:","No capaz"
"Outbreak Containment Heuristic (OCH):","No capaz"
"Virtual LAN (VLAN):","Capaz"
"Cipher Transport Layer (TLS):","No capaz"
"Wireless LAN (WLAN):","No capaz"
"Platform Trust Technology (PTT):","No capaz"
"Near Field Communication (NFC):","No capaz"
"Full Network Manageability:","Deshabilitado"
"Standard Network Manageability:","Deshabilitado"
"Manageability (AMT):","Deshabilitado"
"Small Business Advantage:","No capaz"
"Manageability Upgrade:","No capaz"
"Intel Anti-Theft:","Deshabilitado"
"Capability Licensing Service:","Activado"
"Virtualization Engine:","Deshabilitado"
"Power Sharing Technology (MPC):","Activado"
"ICC Over Clocking:","Activado"
"Protected Audio Video Path (PAVP):","Activado"
"Identity Protection Technology (IPT):","No capaz"
"Remote PC Assist (RPAT):","Deshabilitado"
"IPV6:","Deshabilitado"
"KVM Remote Control:","Deshabilitado"
"Outbreak Containment Heuristic (OCH):","Deshabilitado"
"Virtual LAN (VLAN):","Capaz"
"Cipher Transport Layer (TLS):","Deshabilitado"
"Wireless LAN (WLAN):","Deshabilitado"
"Platform Trust Technology (PTT):","Deshabilitado"
"Near Field Communication (NFC):","Deshabilitado"
"Platform Target Usage Type:","Desktop"
"Platform Target Market Type:","Consumer"
"SKU:","Regular SKU"
"ME Firmware Image Type:","1.5MB Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Locked"

Memoria

"Tamaño de memoria total:","8 GBytes"
"Total Memory Size [MB]:","8192"
"Frecuencia de memoria máxima admitida:","800.0 MHz"
"Frecuencia de memoria actual:","798.3 MHz (8 : 1 Relación)"
"Sincronización actual (tCAS-tRCD-tRP-tRAS):","11-11-11-28"
"Canales de memoria compatibles:","2"
"Canales de memoria activos:","2"
"Tasa de comando (CR):","1T"
"Read to Read Delay (tRDRD_DG/TrdrdScDlr) Different Bank Group:","1T"
"Read to Read Delay (tRDRD_DD) Different DIMM:","3T"
"Write to Write Delay (tWRWR_DG/TwrwrScDlr) Different Bank Group:","3T"
"Write to Write Delay (tWRWR_DD) Different DIMM:","3T"
"Read to Write Delay (tRDWR_SG/TrdwrScL) Same Bank Group:","3T"
"Read to Write Delay (tRDWR_DG/TrdwrScDlr) Different Bank Group:","5T"
"Read to Write Delay (tRDWR_DD) Different DIMM:","5T"
"Write to Read Delay (tWRRD_SG/TwrrdScL) Same Bank Group:","6T"
"Write to Read Delay (tWRRD_DG/TwrrdScDlr) Different Bank Group:","1T"
"Write to Read Delay (tWRRD_DD) Different DIMM:","1T"
"Read to Precharge Delay (tRTP):","6T"
"Write to Precharge Delay (tWTP):","23T"
"Write Recovery Time (tWR):","12T"
"RAS# to RAS# Delay (tRRD):","5T"
"Refresh Cycle Time (tRFC):","128T"
"Four Activate Window (tFAW):","24T"

Row: 0 [BANK 0/ChannelA-DIMM0] - 4 GB PC3-12800 DDR3 SDRAM Ramaxel Technology RMR5040ED58E9W1600

"Número de módulo:","0"
"Tamaño del módulo:","4 GBytes"
"Tipo de memoria:","DDR3 SDRAM"
"Tipo de módulo:","Unbuffered DIMM (UDIMM)"
"Velocidad de memoria:","800.0 MHz (DDR3-1600 / PC3-12800)"
"Fabricante del módulo:","Ramaxel Technology"
"Número de pieza del módulo:","RMR5040ED58E9W1600"
"Revisión del módulo:","65"
"Número de serie del módulo:","1407424834 (4299E353)"
"Fecha de fabricación del módulo:","Año: 2013, Semana: 5"
"Ubicación de fabricación del módulo:","1"
"Fabricante de SDRAM:","Elpida"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","15"
"Bits de dirección de columna:","10"
"Number Of Banks:","8"
"Densidad del módulo:","2048 Mb"
"Número de rangos:","2"
"Ancho del dispositivo:","8 bits"
"Busbreite:","64 bits"
"Voltaje nominal del módulo (VDD):","1.5 V"
"Minimum SDRAM Cycle Time (tCKmin):","1.250 ns"
"Latencias de CAS # admitidas:","5, 6, 7, 8, 9, 10, 11"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.125 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.125 ns"
"Minimum Row Precharge Time (tRPmin):","13.125 ns"
"Minimum Active to Precharge Time (tRASmin):","35.000 ns"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-28"
"Temporización del módulo admitido a 666.7 MHz:","9-9-9-24"
"Temporización del módulo admitido a 533.3 MHz:","7-7-7-19"
"Temporización del módulo admitido a 400.0 MHz:","6-6-6-14"
"Temporización del módulo admitido a 333.3 MHz:","5-5-5-12"
"Minimum Write Recovery Time (tWRmin):","15.000 ns"
"Minimum Row Active to Row Active Delay (tRRDmin):","6.000 ns"
"Minimum Active to Active/Refresh Time (tRCmin):","48.125 ns"
"Minimum Refresh Recovery Time Delay (tRFCmin):","160.000 ns"
"Minimum Internal Write to Read Command Delay (tWTRmin):","7.500 ns"
"Minimum Internal Read to Precharge Command Delay (tRTPmin):","7.500 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","30.000 ns"
"Partial Array Self Refresh (PASR):","Soportado"
"On-die Thermal Sensor (ODTS) Readout:","No soportado"
"Auto Self Refresh (ASR):","No soportado"
"Extended Temperature 1X Refresh Rate:","No soportado"
"Extended Temperature Range:","Soportado"
"Module Temperature Sensor:","No soportado"
"Pseudo Target Row Refresh (pTRR):","No soportado"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","1 - 2 mm"

Row: 2 [BANK 2/ChannelB-DIMM0] - 4 GB PC3-12800 DDR3 SDRAM Crucial Technology CT51264BA160B.C16F

"Número de módulo:","2"
"Tamaño del módulo:","4 GBytes"
"Tipo de memoria:","DDR3 SDRAM"
"Tipo de módulo:","Unbuffered DIMM (UDIMM)"
"Velocidad de memoria:","800.0 MHz (DDR3-1600 / PC3-12800)"
"Fabricante del módulo:","Crucial Technology"
"Número de pieza del módulo:","CT51264BA160B.C16F"
"Revisión del módulo:","1"
"Número de serie del módulo:","3554483360 (A01CDDD3)"
"Fecha de fabricación del módulo:","Año: 2000, Semana: 0"
"Ubicación de fabricación del módulo:","0"
"Fabricante de SDRAM:","Micron"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","15"
"Bits de dirección de columna:","10"
"Number Of Banks:","8"
"Densidad del módulo:","2048 Mb"
"Número de rangos:","2"
"Ancho del dispositivo:","8 bits"
"Busbreite:","64 bits"
"Voltaje nominal del módulo (VDD):","1.5 V"
"Minimum SDRAM Cycle Time (tCKmin):","1.250 ns"
"Latencias de CAS # admitidas:","6, 7, 8, 9, 10, 11"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.125 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.125 ns"
"Minimum Row Precharge Time (tRPmin):","13.125 ns"
"Minimum Active to Precharge Time (tRASmin):","35.000 ns"
"Temporización del módulo admitido a 800.0 MHz:","11-11-11-28"
"Temporización del módulo admitido a 666.7 MHz:","9-9-9-24"
"Temporización del módulo admitido a 533.3 MHz:","7-7-7-19"
"Temporización del módulo admitido a 400.0 MHz:","6-6-6-14"
"Minimum Write Recovery Time (tWRmin):","15.000 ns"
"Minimum Row Active to Row Active Delay (tRRDmin):","6.000 ns"
"Minimum Active to Active/Refresh Time (tRCmin):","48.125 ns"
"Minimum Refresh Recovery Time Delay (tRFCmin):","160.000 ns"
"Minimum Internal Write to Read Command Delay (tWTRmin):","7.500 ns"
"Minimum Internal Read to Precharge Command Delay (tRTPmin):","7.500 ns"
"Minimum Four Activate Window Delay Time (tFAWmin):","30.000 ns"
"Partial Array Self Refresh (PASR):","No soportado"
"On-die Thermal Sensor (ODTS) Readout:","No soportado"
"Auto Self Refresh (ASR):","Soportado"
"Extended Temperature 1X Refresh Rate:","No soportado"
"Extended Temperature Range:","Soportado"
"Module Temperature Sensor:","No soportado"
"Pseudo Target Row Refresh (pTRR):","No soportado"
"Altura nominal del módulo:","29 - 30 mm"
"Espesor máximo del módulo (frontal):","1 - 2 mm"
"Espesor máximo del módulo (trasero):","1 - 2 mm"

Bus


PCI Bus #0


Intel Ivy Bridge-DT - Host Bridge/DRAM Controller [E1/L1/N0/P0]

"Nombre del dispositivo:","Intel Ivy Bridge-DT - Host Bridge/DRAM Controller [E1/L1/N0/P0]"
"Nombre del dispositivo original:","Intel Ivy Bridge-DT - Host Bridge/DRAM Controller [E1/L1/N0/P0]"
"Clase de dispositivo:","Host-to-PCI Bridge"
"ID de revisión:","9 [E1/L1/N0/P0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_0150&SUBSYS_308C17AA&REV_09"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Xeon(R) processor E3 - 1200 v2/3rd Gen Core processor DRAM Controller - 0150"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador del dispositivo:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_0150&SUBSYS_308C17AA&REV_09\3&11583659&0&00"
"Location Paths","PCIROOT(0)#PCI(0000)"

Intel Ivy Bridge-DT GT1 - Integrated Graphics [E1/L1/N0/P0]

"Nombre del dispositivo:","Intel Ivy Bridge-DT GT1 - Integrated Graphics [E1/L1/N0/P0]"
"Nombre del dispositivo original:","Intel Ivy Bridge-DT GT1 - Integrated Graphics [E1/L1/N0/P0]"
"Clase de dispositivo:","VGA Compatible Adapter"
"ID de revisión:","9 [E1/L1/N0/P0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:2:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_0152&SUBSYS_308C17AA&REV_09"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7800000"
"Dirección base de memoria 2","E0000000"
"Dirección base de E/S 4","F000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) HD Graphics"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","10.18.10.4358"
"Fecha del controlador del dispositivo:","20-Dec-2015"
"DCH/UWD Driver:","No capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_0152&SUBSYS_308C17AA&REV_09\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Intel Cougar Point PCH - Manageability Engine Interface 1 [B2]

"Nombre del dispositivo:","Intel Cougar Point PCH - Manageability Engine Interface 1 [B2]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - Manageability Engine Interface 1 [B2]"
"Clase de dispositivo:","Other Communication Device"
"ID de revisión:","4 [B2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:22:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C3A&SUBSYS_308C17AA&REV_04"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7E0A000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Intel(R) Management Engine Interface "
"Proveedor de controladores:","Intel"
"Versión del controlador:","11.0.0.1166"
"Fecha del controlador del dispositivo:","30-Aug-2015"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C3A&SUBSYS_308C17AA&REV_04\3&11583659&0&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel Cougar Point PCH - USB EHCI #2 Controller [B2]

"Nombre del dispositivo:","Intel Cougar Point PCH - USB EHCI #2 Controller [B2]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - USB EHCI #2 Controller [B2]"
"Clase de dispositivo:","USB EHCI Controller"
"ID de revisión:","4 [B2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:26:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C2D&SUBSYS_308C17AA&REV_04"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7E08000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","2.0"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 6 Series/C200 Series Chipset Family USB Enhanced Host Controller - 1C2D"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador del dispositivo:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C2D&SUBSYS_308C17AA&REV_04\3&11583659&0&D0"
"Location Paths","PCIROOT(0)#PCI(1A00)"

USB Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_0024"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_0024\5&320D3147&0&1"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port2] : No Device Connected


Intel Cougar Point PCH - High Definition Audio Controller [B2]

"Nombre del dispositivo:","Intel Cougar Point PCH - High Definition Audio Controller [B2]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - High Definition Audio Controller [B2]"
"Clase de dispositivo:","High Definition Audio"
"ID de revisión:","4 [B2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:27:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C20&SUBSYS_308C17AA&REV_04"
"Versión:","1.1"
"Ancho actual del enlace:","No negociado"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ22"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7E00000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Controladora de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1566"
"Fecha del controlador del dispositivo:","09-Feb-2022"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C20&SUBSYS_308C17AA&REV_04\3&11583659&0&D8"
"Location Paths","PCIROOT(0)#PCI(1B00)"

Intel Cougar Point PCH - PCI Express Port 1 [B2]

"Nombre del dispositivo:","Intel Cougar Point PCH - PCI Express Port 1 [B2]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - PCI Express Port 1 [B2]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","B4 [B2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C10&SUBSYS_00000000&REV_B4"
"Versión:","2.0"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ11"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 6 Series/C200 Series Chipset Family PCI Express Root Port 1 - 1C10"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador del dispositivo:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C10&SUBSYS_308C17AA&REV_B4\3&11583659&0&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x1 Bus #1


Intel Cougar Point PCH - PCI Express Port 4 [B2]

"Nombre del dispositivo:","Intel Cougar Point PCH - PCI Express Port 4 [B2]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - PCI Express Port 4 [B2]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","B4 [B2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C16&SUBSYS_00000000&REV_B4"
"Versión:","2.0"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","1x"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ5"
"Pin de interrupción:","INTD#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 6 Series/C200 Series Chipset Family PCI Express Root Port 4 - 1C16"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador del dispositivo:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C16&SUBSYS_308C17AA&REV_B4\3&11583659&0&E3"
"Location Paths","PCIROOT(0)#PCI(1C03)"

PCI Express x1 Bus #2 [J6B1]


Atheros AR9485 Wireless Network Adapter

"Nombre del dispositivo:","Atheros AR9485 Wireless Network Adapter"
"Nombre del dispositivo original:","Atheros/Qualcomm AR9485 Wireless Network Adapter"
"Clase de dispositivo:","Other Network Adapter"
"ID de revisión:","1"
"Número de dirección PCI (Bus: Dispositivo: Función):","2:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_168C&DEV_0032&SUBSYS_3118168C&REV_01"
"Versión:","1.1"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","1x"
"Velocidad máxima de enlace:","2.5 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ19"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7D00000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Qualcomm Atheros Communications Inc."
"Descripción del controlador:","Adaptador de red inalámbrica Qualcomm Atheros AR9485"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","3.0.2.201"
"Fecha del controlador del dispositivo:","25-Mar-2016"
"DeviceInstanceId","PCI\VEN_168C&DEV_0032&SUBSYS_3118168C&REV_01\4&27FDD97F&0&00E3"
"Location Paths","PCIROOT(0)#PCI(1C03)#PCI(0000)"

Intel Cougar Point PCH - PCI Express Port 6 [B2]

"Nombre del dispositivo:","Intel Cougar Point PCH - PCI Express Port 6 [B2]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - PCI Express Port 6 [B2]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","B4 [B2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:28:5"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C1A&SUBSYS_00000000&REV_B4"
"Versión:","2.0"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","1x"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","10.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","IRQ10"
"Pin de interrupción:","INTB#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 6 Series/C200 Series Chipset Family PCI Express Root Port 6 - 1C1A"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador del dispositivo:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C1A&SUBSYS_308C17AA&REV_B4\3&11583659&0&E5"
"Location Paths","PCIROOT(0)#PCI(1C05)"

PCI Express x1 Bus #3


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Nombre del dispositivo:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Nombre del dispositivo original:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Clase de dispositivo:","Ethernet Adapter"
"ID de revisión:","6"
"Número de dirección PCI (Bus: Dispositivo: Función):","3:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_308C17AA&REV_06"
"Versión:","2.0"
"Ancho máximo del enlace:","1x"
"Ancho actual del enlace:","1x"
"Velocidad máxima de enlace:","5.0 GT/s"
"Velocidad de enlace actual:","2.5 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de E/S 0","E000"
"Dirección base de memoria 2","F7C04000"
"Dirección base de memoria 4","F7C00000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Controladora de la familia Realtek PCIe GbE"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","9.1.410.2015"
"Fecha del controlador del dispositivo:","09-Apr-2015"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_308C17AA&REV_06\4&407D874&0&00E5"
"Location Paths","PCIROOT(0)#PCI(1C05)#PCI(0000)"

Intel Cougar Point PCH - USB EHCI #1 Controller [B2]

"Nombre del dispositivo:","Intel Cougar Point PCH - USB EHCI #1 Controller [B2]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - USB EHCI #1 Controller [B2]"
"Clase de dispositivo:","USB EHCI Controller"
"ID de revisión:","4 [B2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:29:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C26&SUBSYS_308C17AA&REV_04"
"Línea de interrupción:","IRQ23"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F7E07000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Versión USB admitida:","2.0"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 6 Series/C200 Series Chipset Family USB Enhanced Host Controller - 1C26"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador del dispositivo:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C26&SUBSYS_308C17AA&REV_04\3&11583659&0&E8"
"Location Paths","PCIROOT(0)#PCI(1D00)"

USB Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_0024"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_0024\5&34820497&0&1"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : Kingston Technology DataTraveler G4

"Fabricante del dispositivo:","Kingston"
